"user_id","nativeLang"
2490,"Chinese/Taiwanese/Min Nan/Hokkien"
2491,"German"
2496,"English"
2501,"English"
2508,"Chinese/Mandarin"
2510,"Hebrew"
2511,"English"
2516,"Tagalog"
2519,"Indonesian"
2527,"English"
2529,"English"
2537,"Greek"
2538,"Greek"
2540,"Hungarian"
2541,"German"
2542,"Italian"
2545,"Russian"
2550,"Russian"
2551,"Greek"
2557,"English"
2563,"Spanish"
2568,"English"
2569,"English"
2571,"Spanish"
2572,"Italian"
2574,"English"
2576,"Albanian"
2579,"English"
2580,"English"
2581,"Arabic"
2589,"English"
2590,"English"
2591,"American Sign Language"
2592,"English"
2593,"Portuguese"
2594,"English"
2595,"English"
2596,"English"
2597,"English"
2598,"English"
2601,"English"
2602,"English"
2613,"English"
2614,"Danish"
2617,"Spanish"
2627,"English"
2628,"English"
2630,"Russian"
2632,"Swedish"
2633,"English"
2637,"French"
2653,"Other"
2665,"Swedish"
2669,"English"
2671,"English"
2672,"English"
2682,"English"
2684,"Spanish"
2689,"German"
2695,"Dutch"
2700,"Turkish"
2706,"Hindi"
2707,"German"
2714,"English"
2716,"Norwegian"
2717,"English"
2718,"Slovak"
2723,"Hungarian"
2725,"Portuguese"
2728,"Russian"
2729,"Spanish"
2730,"English"
2731,"Portuguese"
2732,"Spanish"
2734,"Portuguese"
2736,"English"
2737,"English"
2748,"Slovene"
2750,"Turkish"
2752,"Spanish"
2754,"French"
2756,"Czech"
2759,"English"
2762,"English"
2769,"English"
2772,"Turkish"
2773,"Turkish"
2785,"English"
2792,"English"
2796,"Turkish"
2810,"Russian"
2811,"Polish"
2812,"English"
2817,"Aklanon"
2818,"English"
2819,"American Sign Language"
2820,"Turkish"
2821,"Dutch"
2832,"English"
2835,"English"
2837,"Portuguese"
2840,"French"
2841,"English"
2842,"English"
2845,"Spanish"
2846,"English"
2847,"French"
2848,"English"
2851,"Russian"
2853,"English"
2855,"Spanish"
2857,"English"
2863,"Russian"
2864,"Italian"
2867,"English"
2874,"English"
2875,"English"
2881,"Tagalog"
2883,"English"
2884,"English"
2885,"English"
2892,"English"
2895,"English"
2897,"English"
2902,"Turkish"
2907,"English"
2911,"French"
2913,"Tagalog"
2919,"Spanish"
2921,"Ukrainian"
2923,"German"
2925,"Russian"
2934,"Indonesian"
2935,"English"
2939,"English"
2941,"English"
2947,"Turkish"
2954,"Turkish"
2957,"English"
2959,"Indonesian"
2961,"English"
2962,"English"
2964,"English"
2966,"English"
2968,"German"
2970,"Czech"
2972,"Russian"
2975,"Turkish"
2980,"English"
2982,"Swiss German"
2983,"English"
2985,"English"
2990,"French"
2995,"French"
2996,"English"
3005,"English"
3008,"Dutch"
3010,"Hungarian"
3012,"French"
3014,"English"
3020,"English"
3022,"English"
3023,"English"
3024,"Indonesian"
3025,"English"
3026,"Russian"
3027,"German"
3030,"Spanish"
3034,"Slovak"
3044,"English"
3050,"English"
3051,"Norwegian"
3052,"English"
3053,"Spanish"
3055,"English"
3056,"English"
3059,"Turkish"
3063,"English"
3065,"English"
3071,"English"
3075,"English"
3092,"Chinese/Mandarin"
3094,"English"
3102,"Chinese/Cantonese/Yue"
3103,"English"
3104,"German"
3105,"Dutch"
3106,"French"
3107,"English"
3113,"German"
3114,"Portuguese"
3118,"English"
3120,"Spanish"
3121,"Portuguese"
3123,"English"
3130,"English"
3135,"Norwegian"
3142,"German"
3144,"French"
3145,"English"
3152,"English"
3153,"Greek"
