"user_id","yrsLessons"
1720,"More than 10 years"
1724,"More than 10 years"
1729,"More than 10 years"
1731,"More than 10 years"
1733,"6-10 years"
1736,"6-10 years"
1742,"4-6 years"
1746,"2-4 years"
1747,"1-2 years"
1755,"More than 10 years"
1757,"More than 10 years"
1760,"4-6 years"
1769,"4-6 years"
1773,"More than 10 years"
1774,"2-4 years"
1775,"6-10 years"
1779,"4-6 years"
1783,"2-4 years"
1784,"4-6 years"
1785,"6-10 years"
1791,"6-10 years"
1792,"6-10 years"
1797,"4-6 years"
1800,"6-10 years"
1804,"More than 10 years"
1812,"1-2 years"
1814,"6-10 years"
1816,"2-4 years"
1817,"6-10 years"
1828,"2-4 years"
1830,"Less than a year"
1835,"More than 10 years"
1839,"6-10 years"
1841,"2-4 years"
1850,"4-6 years"
1865,"More than 10 years"
1867,"6-10 years"
1868,"6-10 years"
1876,"2-4 years"
1878,"Less than a year"
1880,"1-2 years"
1883,"Less than a year"
1886,"6-10 years"
1890,"4-6 years"
1893,"1-2 years"
1896,"1-2 years"
1909,"4-6 years"
1911,"4-6 years"
1913,"More than 10 years"
1916,"2-4 years"
1919,"Less than a year"
1923,"6-10 years"
1930,"2-4 years"
1932,"1-2 years"
1935,"6-10 years"
1941,"6-10 years"
1950,"6-10 years"
1954,"4-6 years"
1955,"Less than a year"
1956,"Less than a year"
1959,"2-4 years"
1965,"More than 10 years"
1971,"More than 10 years"
1987,"2-4 years"
1990,"2-4 years"
1991,"6-10 years"
2000,"4-6 years"
2005,"4-6 years"
2006,"2-4 years"
2011,"2-4 years"
2012,"1-2 years"
2014,"2-4 years"
2018,"More than 10 years"
2024,"4-6 years"
2025,"2-4 years"
2029,"More than 10 years"
2030,"More than 10 years"
2038,"2-4 years"
2056,"4-6 years"
2058,"4-6 years"
2071,"1-2 years"
2074,"1-2 years"
2079,"4-6 years"
2082,"1-2 years"
2095,"6-10 years"
2096,"Less than a year"
2100,"More than 10 years"
2101,"More than 10 years"
2113,"6-10 years"
2123,"Less than a year"
2127,"More than 10 years"
2130,"More than 10 years"
2133,"More than 10 years"
2134,"1-2 years"
2145,"4-6 years"
2164,"4-6 years"
2172,"2-4 years"
2176,"More than 10 years"
2182,"6-10 years"
2184,"4-6 years"
2188,"More than 10 years"
2200,"1-2 years"
2201,"6-10 years"
2208,"4-6 years"
2213,"2-4 years"
2230,"1-2 years"
2235,"1-2 years"
2249,"6-10 years"
2251,"6-10 years"
2259,"Less than a year"
2264,"1-2 years"
2268,"4-6 years"
2269,"2-4 years"
2272,"2-4 years"
2282,"2-4 years"
2287,"More than 10 years"
2290,"More than 10 years"
2293,"4-6 years"
2296,"4-6 years"
2297,"1-2 years"
2307,"6-10 years"
2320,"More than 10 years"
2323,"More than 10 years"
2325,"2-4 years"
2326,"4-6 years"
2330,"4-6 years"
2338,"1-2 years"
2352,"2-4 years"
2362,"6-10 years"
2364,"2-4 years"
2365,"2-4 years"
2366,"6-10 years"
2369,"2-4 years"
2370,"1-2 years"
2372,"2-4 years"
2373,"2-4 years"
2376,"More than 10 years"
2380,"1-2 years"
2387,"Less than a year"
2392,"4-6 years"
2398,"More than 10 years"
2400,"6-10 years"
2403,"4-6 years"
2406,"2-4 years"
2411,"Less than a year"
2416,"6-10 years"
2426,"4-6 years"
2429,"6-10 years"
2440,"1-2 years"
2442,"6-10 years"
2446,"2-4 years"
2458,"4-6 years"
2469,"6-10 years"
2470,"6-10 years"
2471,"4-6 years"
2474,"4-6 years"
2475,"More than 10 years"
2477,"4-6 years"
2478,"1-2 years"
2490,"More than 10 years"
2496,"6-10 years"
2501,"1-2 years"
2508,"6-10 years"
2510,"1-2 years"
2511,"2-4 years"
2527,"4-6 years"
2529,"More than 10 years"
2537,"Less than a year"
2538,"Less than a year"
2541,"6-10 years"
2542,"4-6 years"
2545,"6-10 years"
2550,"6-10 years"
2551,"Less than a year"
2557,"6-10 years"
2563,"4-6 years"
2568,"6-10 years"
2569,"2-4 years"
2571,"4-6 years"
2572,"2-4 years"
2574,"2-4 years"
2581,"Less than a year"
2591,"2-4 years"
2592,"1-2 years"
2593,"6-10 years"
2594,"1-2 years"
2595,"2-4 years"
2596,"1-2 years"
2598,"1-2 years"
2613,"2-4 years"
2627,"More than 10 years"
2628,"6-10 years"
2633,"1-2 years"
2637,"More than 10 years"
2665,"2-4 years"
2671,"2-4 years"
2672,"2-4 years"
2682,"6-10 years"
2684,"2-4 years"
2689,"More than 10 years"
2695,"2-4 years"
2706,"6-10 years"
2707,"More than 10 years"
2717,"More than 10 years"
2723,"6-10 years"
2725,"1-2 years"
2728,"4-6 years"
2729,"4-6 years"
2730,"2-4 years"
2731,"6-10 years"
2734,"6-10 years"
2737,"6-10 years"
2748,"4-6 years"
2750,"More than 10 years"
2754,"2-4 years"
2756,"4-6 years"
2759,"4-6 years"
2769,"6-10 years"
2785,"More than 10 years"
2792,"2-4 years"
2796,"1-2 years"
2811,"1-2 years"
2812,"6-10 years"
2818,"2-4 years"
2820,"4-6 years"
2821,"2-4 years"
2832,"6-10 years"
2835,"1-2 years"
2840,"2-4 years"
2841,"4-6 years"
2842,"4-6 years"
2846,"6-10 years"
2847,"6-10 years"
2848,"4-6 years"
2851,"1-2 years"
2855,"6-10 years"
2857,"More than 10 years"
2863,"Less than a year"
2864,"4-6 years"
2867,"More than 10 years"
2874,"6-10 years"
2875,"4-6 years"
2883,"2-4 years"
2884,"4-6 years"
2885,"2-4 years"
2892,"Less than a year"
2897,"1-2 years"
2907,"4-6 years"
2911,"6-10 years"
2921,"6-10 years"
2923,"More than 10 years"
2925,"2-4 years"
2934,"More than 10 years"
2939,"1-2 years"
2941,"More than 10 years"
2947,"More than 10 years"
2954,"Less than a year"
2957,"More than 10 years"
2959,"2-4 years"
2961,"6-10 years"
2962,"4-6 years"
2964,"More than 10 years"
2966,"More than 10 years"
2970,"More than 10 years"
2980,"More than 10 years"
2985,"More than 10 years"
2995,"6-10 years"
3008,"More than 10 years"
3010,"1-2 years"
3014,"6-10 years"
3023,"2-4 years"
3024,"6-10 years"
3025,"More than 10 years"
3026,"Less than a year"
3034,"More than 10 years"
3051,"More than 10 years"
3053,"Less than a year"
3055,"More than 10 years"
3065,"2-4 years"
3071,"More than 10 years"
3075,"Less than a year"
3092,"More than 10 years"
3094,"6-10 years"
3102,"More than 10 years"
3103,"1-2 years"
3104,"2-4 years"
3105,"2-4 years"
3106,"4-6 years"
3113,"6-10 years"
3114,"2-4 years"
3120,"2-4 years"
3121,"4-6 years"
3130,"4-6 years"
3135,"Less than a year"
3142,"Less than a year"
3144,"6-10 years"
3145,"2-4 years"
3152,"6-10 years"
3166,"4-6 years"
3169,"1-2 years"
3180,"2-4 years"
3186,"Less than a year"
3202,"4-6 years"
3203,"4-6 years"
3208,"4-6 years"
3209,"Less than a year"
3210,"6-10 years"
3211,"6-10 years"
3216,"6-10 years"
3217,"1-2 years"
3219,"1-2 years"
3220,"6-10 years"
3223,"4-6 years"
3225,"Less than a year"
3230,"Less than a year"
3235,"More than 10 years"
3249,"4-6 years"
3253,"6-10 years"
3255,"6-10 years"
3267,"6-10 years"
3271,"Less than a year"
3275,"Less than a year"
3286,"More than 10 years"
3292,"4-6 years"
3295,"2-4 years"
3302,"Less than a year"
3304,"6-10 years"
3307,"4-6 years"
3311,"1-2 years"
3322,"4-6 years"
3325,"6-10 years"
3327,"1-2 years"
3329,"More than 10 years"
3341,"More than 10 years"
3343,"More than 10 years"
3347,"1-2 years"
3353,"More than 10 years"
3365,"More than 10 years"
3368,"1-2 years"
3372,"4-6 years"
3387,"More than 10 years"
3388,"6-10 years"
3393,"4-6 years"
3403,"4-6 years"
3407,"2-4 years"
3408,"4-6 years"
3416,"4-6 years"
3422,"4-6 years"
3424,"More than 10 years"
3428,"6-10 years"
3430,"4-6 years"
3435,"1-2 years"
3446,"6-10 years"
3450,"Less than a year"
3454,"4-6 years"
3457,"2-4 years"
3458,"More than 10 years"
3463,"Less than a year"
3466,"6-10 years"
3471,"1-2 years"
3473,"Less than a year"
3474,"4-6 years"
3475,"1-2 years"
3480,"2-4 years"
3481,"Less than a year"
3482,"1-2 years"
3483,"6-10 years"
3490,"4-6 years"
3491,"1-2 years"
3492,"6-10 years"
3497,"1-2 years"
3500,"4-6 years"
3502,"6-10 years"
3504,"6-10 years"
3505,"Less than a year"
3517,"Less than a year"
3525,"More than 10 years"
3529,"2-4 years"
3536,"4-6 years"
3537,"4-6 years"
3538,"2-4 years"
3540,"More than 10 years"
3543,"Less than a year"
3544,"2-4 years"
3548,"Less than a year"
3551,"2-4 years"
3552,"More than 10 years"
3555,"2-4 years"
3564,"6-10 years"
3572,"Less than a year"
3573,"4-6 years"
3574,"4-6 years"
3578,"1-2 years"
3581,"More than 10 years"
3592,"More than 10 years"
3593,"Less than a year"
3600,"More than 10 years"
3605,"2-4 years"
3606,"More than 10 years"
3612,"More than 10 years"
3614,"6-10 years"
3622,"6-10 years"
3623,"Less than a year"
3631,"2-4 years"
3640,"6-10 years"
3643,"More than 10 years"
3644,"4-6 years"
3649,"More than 10 years"
3656,"6-10 years"
3663,"Less than a year"
3666,"4-6 years"
3671,"4-6 years"
3673,"4-6 years"
3695,"More than 10 years"
3703,"More than 10 years"
3706,"6-10 years"
3707,"Less than a year"
3708,"2-4 years"
3715,"6-10 years"
3720,"4-6 years"
3722,"1-2 years"
3729,"1-2 years"
3735,"2-4 years"
3737,"2-4 years"
3739,"6-10 years"
3741,"2-4 years"
3742,"More than 10 years"
3743,"4-6 years"
3745,"6-10 years"
3747,"More than 10 years"
3753,"More than 10 years"
