"user_id","musicLessons"
743,0
745,1
750,1
751,1
756,0
767,1
768,0
770,1
771,0
780,0
782,1
786,1
787,1
788,1
790,1
795,0
799,1
801,1
802,1
804,1
808,1
810,0
815,0
816,0
819,0
820,0
821,1
822,1
830,1
834,1
835,1
838,1
844,1
845,1
846,0
847,1
850,1
852,1
857,1
859,1
867,1
869,1
879,1
880,1
881,0
886,0
890,1
891,1
892,1
901,1
904,1
905,1
906,1
910,1
911,1
914,1
917,1
922,1
929,1
930,1
934,1
936,1
937,0
941,0
944,1
945,1
947,1
958,1
973,1
975,1
976,0
982,1
986,1
993,1
994,0
997,1
1003,1
1010,1
1012,1
1013,1
1015,0
1018,1
1021,1
1022,1
1032,1
1033,1
1034,1
1038,1
1045,1
1047,1
1053,1
1054,1
1058,0
1062,1
1065,1
1068,1
1070,1
1081,1
1084,1
1092,1
1097,1
1103,1
1104,1
1106,0
1107,0
1112,1
1113,1
1120,1
1122,1
1125,1
1130,1
1132,1
1135,1
1137,0
1138,1
1140,1
1143,0
1153,1
1154,1
1158,1
1161,1
1167,1
1168,1
1171,1
1173,1
1174,0
1176,1
1177,0
1179,1
1182,0
1184,1
1186,1
1187,1
1191,1
1195,1
1196,0
1202,1
1207,1
1209,1
1212,0
1216,1
1218,0
1220,1
1221,1
1225,1
1232,0
1237,0
1239,1
1242,1
1243,1
1244,0
1246,1
1247,1
1251,1
1253,0
1255,0
1256,1
1257,0
1260,1
1261,0
1265,1
1270,0
1274,1
1283,1
1284,1
1285,0
1293,1
1298,1
1300,1
1301,1
1304,1
1306,1
1307,0
1308,1
1313,1
1314,1
1317,0
1330,0
1332,0
1333,0
1336,0
1338,1
1341,1
1343,1
1349,1
1352,0
1354,1
1357,0
1361,1
1370,0
1372,1
1373,1
1374,1
1379,1
1384,1
1388,0
1389,1
1390,1
1391,1
1405,1
1409,1
1410,1
1414,1
1415,1
1416,1
1420,1
1422,0
1426,1
1427,1
1433,0
1435,1
1439,0
1444,1
1445,1
1447,1
1450,0
1452,1
1453,1
1458,1
1463,1
1464,1
1465,1
1466,1
1473,1
1475,1
1478,0
1482,1
1487,1
1489,0
1490,1
1493,1
1495,1
1497,1
1505,0
1514,1
1515,1
1516,1
1520,1
1525,1
1530,1
1531,1
1533,1
1535,1
1536,1
1546,1
1549,1
1551,1
1553,1
1555,0
1556,0
1557,0
1558,1
1560,0
1561,1
1562,0
1568,1
1569,1
1570,1
1571,0
1572,0
1574,1
1575,1
1578,0
1579,1
1580,1
1585,0
1586,0
1587,1
1589,1
1590,1
1591,1
1592,1
1594,1
1597,1
1598,1
1599,1
1601,1
1603,1
1604,1
1605,1
1606,1
1607,1
1611,0
1612,0
1614,1
1619,0
1621,1
1625,1
1627,1
1628,1
1629,1
1633,1
1640,1
1644,0
1645,1
1646,1
1647,1
1649,1
1657,1
1659,1
1660,1
1662,1
1664,1
1666,1
1668,0
1669,0
1671,1
1672,1
1674,1
1677,1
1678,0
1679,1
1680,1
1687,1
1688,1
1699,1
1705,1
1708,1
1714,1
1715,1
1719,1
1720,1
1724,1
1729,1
1731,1
1733,1
1736,1
1742,1
1746,1
1747,1
1755,1
1757,1
1760,1
1769,1
1773,1
1774,1
1775,1
1779,1
1783,1
1784,1
1785,1
1791,0
1792,1
1797,1
1800,1
1803,0
1804,1
1810,0
1812,1
1814,1
1816,1
1817,1
1819,0
1824,0
1828,1
1829,0
1830,1
1835,1
1839,1
1841,1
1850,1
1865,1
1866,0
1867,1
1868,1
1876,1
1878,1
1880,1
1883,1
1885,0
1886,1
1890,1
1893,1
1896,1
1909,1
1911,1
1913,1
1916,1
1919,1
1923,1
1930,1
1932,1
1935,1
1941,1
1950,1
1954,1
1955,1
1956,1
1959,1
1965,1
