"user_id","nativeLang"
239668,"Ukrainian"
239670,"Polish"
239685,"English"
239688,"English"
239689,"Abenaki"
239690,"English"
239695,"Russian"
239699,"English"
239706,"English"
239710,"English"
239711,"English"
239712,"English"
239713,"English"
239730,"English"
239737,"Romanian"
239742,"English"
239750,"English"
239757,"English"
239760,"English"
239761,"English"
239764,"English"
239766,"Chinese/Mandarin"
239773,"English"
239783,"English"
239786,"Spanish"
239799,"English"
239800,"English"
239807,"English"
239810,"English"
239811,"English"
239815,"Vietnamese"
239817,"Chinese/Cantonese/Yue"
239822,"English"
239823,"Farsi"
239838,"English"
239842,"English"
239843,"German"
239851,"French"
239854,"Dutch"
239863,"Farsi"
239873,"Chinese/Min Dong"
239877,"Chinese/Mandarin"
239886,"Danish"
239888,"English"
239891,"Spanish"
239894,"Russian"
239914,"Spanish"
239916,"Polish"
239918,"Tamil"
239923,"Swedish"
239928,"English"
239934,"English"
239937,"German"
239940,"English"
239941,"Spanish"
239942,"English"
239944,"English"
239945,"English"
239952,"English"
239954,"English"
239955,"Breton"
239957,"Spanish"
239959,"German"
239960,"German"
239964,"German"
239968,"English"
239971,"Spanish"
239973,"German"
239975,"German"
239976,"English"
239982,"English"
239983,"English"
239986,"Other"
239988,"English"
239990,"Spanish"
239995,"Tamil"
240004,"Chinese/Mandarin"
240010,"English"
240016,"Chinese/Mandarin"
240019,"English"
240022,"English"
240029,"Danish"
240038,"English"
240041,"English"
240044,"English"
240048,"Bengali"
240055,"English"
240065,"Chinese/Cantonese/Yue"
240066,"Farsi"
240067,"Czech"
240069,"English"
240073,"English"
240079,"German"
240083,"French"
240084,"English"
240086,"Norwegian"
240094,"Swedish"
240098,"English"
240101,"English"
240102,"Chinese/Cantonese/Yue"
240108,"English"
240109,"Other"
240115,"Russian"
240116,"German"
240122,"French"
240123,"Russian"
240124,"English"
240127,"Chinese/Mandarin"
240131,"English"
240132,"English"
240133,"Chinese/Yue"
240135,"Chinese/Yue"
240139,"Danish"
240140,"Spanish"
240141,"French"
240143,"French"
240144,"English"
240146,"English"
240149,"English"
240150,"English"
240152,"Chinese/Cantonese/Yue"
240154,"English"
240158,"Spanish"
240160,"Spanish"
240163,"English"
240164,"Malay"
240170,"English"
240171,"English"
